Product_ID,Booking_ID,Product_Name,Quantity,Price_per_Unit,Total_Price
PROD-0001,B0822,Late Checkout,1,100000,100000
PROD-0002,B0308,Late Checkout,1,100000,100000
PROD-0003,B0669,Massage Service,1,350000,350000
PROD-0004,B0214,Laundry Service,3,75000,225000
PROD-0005,B0282,Mini Bar Refill,1,120000,120000
PROD-0006,B0198,Room Service,2,180000,360000
PROD-0007,B0786,Late Checkout,1,100000,100000
PROD-0008,B0565,Dinner Buffet,2,250000,500000
PROD-0009,B0952,Dinner Buffet,2,250000,500000
PROD-0010,B0757,Room Service,3,180000,540000
PROD-0011,B0855,Spa Package,1,300000,300000
PROD-0012,B0609,Late Checkout,1,100000,100000
PROD-0013,B0546,Spa Package,1,300000,300000
PROD-0014,B0878,Massage Service,1,350000,350000
PROD-0015,B0619,Dinner Buffet,1,250000,250000
PROD-0016,B0194,Late Checkout,1,100000,100000
PROD-0017,B0291,Airport Transfer,1,200000,200000
PROD-0018,B0199,Massage Service,1,350000,350000
PROD-0019,B0775,Massage Service,1,350000,350000
PROD-0020,B0306,Laundry Service,1,75000,75000
PROD-0021,B0266,Room Service,3,180000,540000
PROD-0022,B0416,Laundry Service,3,75000,225000
PROD-0023,B0603,Late Checkout,1,100000,100000
PROD-0024,B0703,Massage Service,1,350000,350000
PROD-0025,B0496,Massage Service,1,350000,350000
PROD-0026,B0738,Late Checkout,1,100000,100000
PROD-0027,B0443,Late Checkout,1,100000,100000
PROD-0028,B0414,Airport Transfer,2,200000,400000
PROD-0029,B0239,Tour Package,1,500000,500000
PROD-0030,B0931,Airport Transfer,2,200000,400000
PROD-0031,B0659,Airport Transfer,2,200000,400000
PROD-0032,B0313,Massage Service,1,350000,350000
PROD-0033,B0642,Airport Transfer,2,200000,400000
PROD-0034,B0047,Tour Package,1,500000,500000
PROD-0035,B0523,Tour Package,1,500000,500000
PROD-0036,B0375,Massage Service,1,350000,350000
PROD-0037,B0239,Tour Package,1,500000,500000
PROD-0038,B0850,Late Checkout,1,100000,100000
PROD-0039,B0448,Late Checkout,1,100000,100000
PROD-0040,B0680,Massage Service,1,350000,350000
PROD-0041,B0088,Mini Bar Refill,1,120000,120000
PROD-0042,B0389,Dinner Buffet,2,250000,500000
PROD-0043,B0850,Spa Package,1,300000,300000
PROD-0044,B0291,Massage Service,1,350000,350000
PROD-0045,B0833,Breakfast Buffet,2,150000,300000
PROD-0046,B0424,Late Checkout,1,100000,100000
PROD-0047,B0514,Spa Package,1,300000,300000
PROD-0048,B0922,Tour Package,1,500000,500000
PROD-0049,B0995,Massage Service,1,350000,350000
PROD-0050,B0749,Breakfast Buffet,1,150000,150000
PROD-0051,B0163,Laundry Service,2,75000,150000
PROD-0052,B0403,Spa Package,1,300000,300000
PROD-0053,B0564,Laundry Service,3,75000,225000
PROD-0054,B0050,Laundry Service,3,75000,225000
PROD-0055,B0469,Mini Bar Refill,1,120000,120000
PROD-0056,B0943,Late Checkout,1,100000,100000
PROD-0057,B0666,Dinner Buffet,2,250000,500000
PROD-0058,B0356,Breakfast Buffet,2,150000,300000
PROD-0059,B0523,Dinner Buffet,2,250000,500000
PROD-0060,B0418,Spa Package,1,300000,300000
PROD-0061,B0688,Tour Package,1,500000,500000
PROD-0062,B0422,Dinner Buffet,2,250000,500000
PROD-0063,B0165,Massage Service,1,350000,350000
PROD-0064,B0616,Dinner Buffet,2,250000,500000
PROD-0065,B0927,Laundry Service,3,75000,225000
PROD-0066,B0867,Tour Package,1,500000,500000
PROD-0067,B0835,Spa Package,1,300000,300000
PROD-0068,B0696,Spa Package,1,300000,300000
PROD-0069,B0272,Tour Package,1,500000,500000
PROD-0070,B0067,Room Service,2,180000,360000
PROD-0071,B0384,Room Service,3,180000,540000
PROD-0072,B0837,Late Checkout,1,100000,100000
PROD-0073,B0781,Airport Transfer,1,200000,200000
PROD-0074,B0062,Tour Package,1,500000,500000
PROD-0075,B0851,Room Service,1,180000,180000
PROD-0076,B0871,Massage Service,1,350000,350000
PROD-0077,B0723,Late Checkout,1,100000,100000
PROD-0078,B0913,Dinner Buffet,2,250000,500000
PROD-0079,B0819,Spa Package,1,300000,300000
PROD-0080,B0667,Late Checkout,1,100000,100000
PROD-0081,B0597,Spa Package,1,300000,300000
PROD-0082,B0416,Breakfast Buffet,1,150000,150000
PROD-0083,B0673,Massage Service,1,350000,350000
PROD-0084,B0770,Airport Transfer,1,200000,200000
PROD-0085,B0035,Massage Service,1,350000,350000
PROD-0086,B0511,Airport Transfer,2,200000,400000
PROD-0087,B0797,Spa Package,1,300000,300000
PROD-0088,B0891,Dinner Buffet,1,250000,250000
PROD-0089,B0883,Massage Service,1,350000,350000
PROD-0090,B0774,Breakfast Buffet,2,150000,300000
PROD-0091,B0613,Tour Package,1,500000,500000
PROD-0092,B0706,Airport Transfer,1,200000,200000
PROD-0093,B0510,Breakfast Buffet,1,150000,150000
PROD-0094,B0815,Room Service,2,180000,360000
PROD-0095,B0786,Massage Service,1,350000,350000
PROD-0096,B0286,Breakfast Buffet,2,150000,300000
PROD-0097,B0755,Room Service,2,180000,360000
PROD-0098,B0648,Airport Transfer,1,200000,200000
PROD-0099,B0361,Room Service,3,180000,540000
PROD-0100,B0989,Mini Bar Refill,1,120000,120000
PROD-0101,B0396,Massage Service,1,350000,350000
PROD-0102,B0107,Tour Package,1,500000,500000
PROD-0103,B0234,Mini Bar Refill,1,120000,120000
PROD-0104,B0193,Airport Transfer,1,200000,200000
PROD-0105,B0380,Tour Package,1,500000,500000
PROD-0106,B0030,Mini Bar Refill,1,120000,120000
PROD-0107,B0250,Tour Package,1,500000,500000
PROD-0108,B0809,Spa Package,1,300000,300000
PROD-0109,B0577,Room Service,1,180000,180000
PROD-0110,B0987,Late Checkout,1,100000,100000
PROD-0111,B0201,Massage Service,1,350000,350000
PROD-0112,B0983,Breakfast Buffet,2,150000,300000
PROD-0113,B0123,Spa Package,1,300000,300000
PROD-0114,B0316,Massage Service,1,350000,350000
PROD-0115,B0151,Massage Service,1,350000,350000
PROD-0116,B0302,Laundry Service,2,75000,150000
PROD-0117,B0817,Airport Transfer,2,200000,400000
PROD-0118,B0379,Laundry Service,1,75000,75000
PROD-0119,B0803,Breakfast Buffet,2,150000,300000
PROD-0120,B0536,Laundry Service,1,75000,75000
PROD-0121,B0494,Breakfast Buffet,2,150000,300000
PROD-0122,B0406,Breakfast Buffet,2,150000,300000
PROD-0123,B0401,Airport Transfer,2,200000,400000
PROD-0124,B0038,Tour Package,1,500000,500000
PROD-0125,B0100,Airport Transfer,1,200000,200000
PROD-0126,B0501,Breakfast Buffet,2,150000,300000
PROD-0127,B0695,Late Checkout,1,100000,100000
PROD-0128,B0765,Dinner Buffet,1,250000,250000
PROD-0129,B0398,Airport Transfer,2,200000,400000
PROD-0130,B0988,Airport Transfer,1,200000,200000
PROD-0131,B0589,Spa Package,1,300000,300000
PROD-0132,B0630,Spa Package,1,300000,300000
PROD-0133,B0686,Mini Bar Refill,1,120000,120000
PROD-0134,B0054,Spa Package,1,300000,300000
PROD-0135,B0588,Mini Bar Refill,1,120000,120000
PROD-0136,B0569,Laundry Service,2,75000,150000
PROD-0137,B0756,Massage Service,1,350000,350000
