Booking_ID,Tanggal_Booking,Tanggal_CheckIn,Tanggal_CheckOut,Lama_Menginap,Room_ID,Tipe_Kamar,Harga_per_Malam,Status_Reservasi,Kanal_Distribusi
B0001,2025-03-07,2025-05-28,2025-05-30,2,SU028,Suite,1000000,Check-in,Direct Booking
B0002,2025-05-05,2025-05-23,2025-05-26,3,ST074,Standard,300000,Check-in,OTA (Booking.com)
B0003,2025-08-19,2025-11-03,2025-11-05,2,SU013,Suite,1000000,Check-in,Direct Booking
B0004,2025-02-08,2025-04-14,2025-04-15,1,ST018,Standard,300000,Check-in,OTA (Booking.com)
B0005,2025-08-23,2025-11-01,2025-11-02,1,SU014,Suite,1000000,Check-in,Direct Booking
B0006,2025-06-20,2025-06-21,2025-06-25,4,ST087,Standard,300000,Check-in,Direct Booking
B0007,2025-08-23,2025-09-20,2025-09-24,4,SU030,Suite,1000000,Check-in,Direct Booking
B0008,2025-06-30,2025-08-14,2025-08-17,3,SU013,Suite,1000000,Check-in,OTA (Booking.com)
B0009,2025-03-23,2025-05-11,2025-05-15,4,ST006,Standard,300000,Check-in,OTA (Booking.com)
B0010,2025-05-22,2025-07-08,2025-07-10,2,ST066,Standard,300000,Check-in,OTA (Booking.com)
B0011,2025-04-03,2025-05-11,2025-05-12,1,SU015,Suite,1000000,Check-in,OTA (Booking.com)
B0012,2025-08-06,2025-10-04,2025-10-09,5,SU011,Suite,1000000,Check-in,Direct Booking
B0013,2025-04-02,2025-05-07,2025-05-08,1,ST004,Standard,300000,Check-in,OTA (Booking.com)
B0014,2025-05-22,2025-06-23,2025-06-26,3,DE055,Deluxe,500000,Check-in,Corporate
B0015,2025-05-01,2025-07-22,2025-07-23,1,ST084,Standard,300000,Check-in,OTA (Agoda)
B0016,2025-07-19,2025-07-27,2025-07-28,1,SU027,Suite,1000000,Check-in,OTA (Booking.com)
B0017,2025-07-09,2025-07-18,2025-07-22,4,ST058,Standard,300000,Check-in,OTA (Booking.com)
B0018,2025-09-19,2025-12-12,2025-12-13,1,DE028,Deluxe,500000,Check-in,OTA (Booking.com)
B0019,2025-07-26,2025-08-14,2025-08-16,2,SU014,Suite,1000000,Check-in,OTA (Booking.com)
B0020,2025-10-03,2025-11-06,2025-11-07,1,ST041,Standard,300000,Check-in,Direct Booking
B0021,2025-11-29,2025-12-17,2025-12-21,4,DE004,Deluxe,500000,Check-in,Direct Booking
B0022,2025-06-03,2025-06-18,2025-06-21,3,ST026,Standard,300000,Check-in,OTA (Booking.com)
B0023,2025-02-15,2025-05-03,2025-05-05,2,DE053,Deluxe,500000,Check-in,Corporate
B0024,2025-05-31,2025-08-07,2025-08-10,3,ST008,Standard,300000,Check-in,Direct Booking
B0025,2025-07-31,2025-08-15,2025-08-19,4,ST041,Standard,300000,Check-in,Direct Booking
B0026,2025-10-29,2025-11-19,2025-11-21,2,SU024,Suite,1000000,Cancel,OTA (Agoda)
B0027,2025-11-09,2025-12-13,2025-12-17,4,SU025,Suite,1000000,Check-in,Direct Booking
B0028,2025-06-11,2025-08-31,2025-09-02,2,ST047,Standard,300000,Check-in,Direct Booking
B0029,2025-05-05,2025-06-22,2025-06-23,1,ST030,Standard,300000,Cancel,Corporate
B0030,2025-09-12,2025-09-13,2025-09-17,4,DE053,Deluxe,500000,Check-in,Corporate
B0031,2025-06-22,2025-08-01,2025-08-04,3,SU014,Suite,1000000,Check-in,OTA (Booking.com)
B0032,2025-05-03,2025-05-14,2025-05-19,5,ST027,Standard,300000,Check-in,Direct Booking
B0033,2025-03-27,2025-06-04,2025-06-05,1,SU011,Suite,1000000,Check-in,Corporate
B0034,2025-07-23,2025-08-14,2025-08-16,2,ST011,Standard,300000,Check-in,OTA (Booking.com)
B0035,2025-06-14,2025-07-12,2025-07-17,5,ST071,Standard,300000,Check-in,Corporate
B0036,2025-07-17,2025-10-09,2025-10-14,5,DE027,Deluxe,500000,Check-in,OTA (Booking.com)
B0037,2025-06-23,2025-07-25,2025-07-28,3,SU016,Suite,1000000,Check-in,OTA (Booking.com)
B0038,2025-06-22,2025-07-22,2025-07-27,5,SU009,Suite,1000000,Check-in,OTA (Booking.com)
B0039,2025-04-05,2025-05-05,2025-05-10,5,SU006,Suite,1000000,Check-in,Direct Booking
B0040,2025-07-21,2025-08-21,2025-08-24,3,ST033,Standard,300000,Check-in,OTA (Booking.com)
B0041,2025-09-16,2025-11-29,2025-12-01,2,SU008,Suite,1000000,Check-in,OTA (Agoda)
B0042,2025-04-24,2025-05-19,2025-05-24,5,SU016,Suite,1000000,Check-in,OTA (Booking.com)
B0043,2025-10-04,2025-11-26,2025-12-01,5,ST072,Standard,300000,Check-in,OTA (Booking.com)
B0044,2025-02-27,2025-05-21,2025-05-26,5,SU029,Suite,1000000,Check-in,OTA (Booking.com)
B0045,2025-07-23,2025-08-06,2025-08-11,5,SU026,Suite,1000000,Check-in,OTA (Booking.com)
B0046,2025-05-09,2025-07-03,2025-07-08,5,DE010,Deluxe,500000,Check-in,OTA (Agoda)
B0047,2025-11-03,2025-11-13,2025-11-16,3,ST070,Standard,300000,Check-in,OTA (Booking.com)
B0048,2025-01-28,2025-04-08,2025-04-12,4,SU011,Suite,1000000,Cancel,OTA (Agoda)
B0049,2025-10-04,2025-10-26,2025-10-27,1,DE029,Deluxe,500000,Check-in,OTA (Agoda)
B0050,2025-06-16,2025-06-24,2025-06-28,4,DE022,Deluxe,500000,Check-in,OTA (Booking.com)
B0051,2025-06-27,2025-08-25,2025-08-26,1,DE101,Deluxe,500000,Check-in,OTA (Agoda)
B0052,2025-09-25,2025-12-06,2025-12-08,2,SU016,Suite,1000000,Check-in,Direct Booking
B0053,2025-04-24,2025-05-02,2025-05-06,4,ST088,Standard,300000,Check-in,Direct Booking
B0054,2025-10-13,2025-12-14,2025-12-19,5,ST031,Standard,300000,Check-in,Corporate
B0055,2025-06-24,2025-07-05,2025-07-07,2,SU019,Suite,1000000,Check-in,OTA (Booking.com)
B0056,2025-09-23,2025-10-24,2025-10-26,2,SU018,Suite,1000000,Cancel,OTA (Booking.com)
B0057,2025-02-05,2025-04-21,2025-04-26,5,ST087,Standard,300000,Check-in,OTA (Booking.com)
B0058,2025-10-12,2025-12-24,2025-12-25,1,DE110,Deluxe,500000,Cancel,Direct Booking
B0059,2025-06-21,2025-08-01,2025-08-04,3,DE018,Deluxe,500000,Check-in,OTA (Booking.com)
B0060,2025-10-13,2025-11-21,2025-11-22,1,DE066,Deluxe,500000,Cancel,Corporate
B0061,2025-11-19,2025-11-21,2025-11-23,2,ST073,Standard,300000,Cancel,Corporate
B0062,2025-07-09,2025-07-19,2025-07-23,4,ST066,Standard,300000,Check-in,Corporate
B0063,2025-07-26,2025-08-04,2025-08-09,5,DE080,Deluxe,500000,Check-in,OTA (Booking.com)
